N,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
4, 1, 1.0, 4.97189994985786e-05, 0.0, 7.052340354408312e-06
4, 2, 0.75, 4.971899949857859e-05, 1.0, 1.0225893513892044e-05
8, 1, 1.0, 0.0002732781887333221, 0.0, 1.022589351389199e-05
8, 2, 0.625, 0.000309597741558525, 0.5, 2.3625340187267887e-05
8, 3, 0.5, 0.00033815971999387863, 0.7999999999999999, 4.654544633909486e-05
8, 4, 0.4375, 0.00034415420929512566, 1.0, 5.7123956870707305e-05
16, 1, 1.0, 0.0017919996840551522, 0.0, 1.8688701939181904e-05
16, 2, 0.5625, 0.0019750079162520477, 0.5, 4.619282932137505e-05
16, 3, 0.421875, 0.0021231070636946224, 0.5999999999999999, 8.850687144782397e-05
16, 4, 0.34375, 0.0022733219132435208, 0.6428571428571429, 0.00014316250919448915
16, 5, 0.3125, 0.0023575973804787, 0.6666666666666665, 0.00021227544466768944
16, 6, 0.28125, 0.002884054587935279, 0.7727272727272728, 0.0003067768054167627
16, 7, 0.25, 0.0024993494216023066, 0.9230769230769232, 0.0004266665914417003
16, 8, 0.234375, 0.0032454870310987052, 1.0, 0.0007394378861597106
32, 1, 1.0, 0.017058553466260545, 0.0, 4.231404212644979e-05
32, 2, 0.53125, 0.020078012989000464, 0.5, 0.00014668867937169677
32, 3, 0.375, 0.017736283374319192, 0.6000000000000001, 0.0001784242109665185
32, 4, 0.296875, 0.015129738379329877, 0.6428571428571427, 0.0002880881034775795
32, 5, 0.25, 0.01584414045723144, 0.6666666666666667, 0.00042419827231766905
32, 6, 0.22265625, 0.01631065277167555, 0.6818181818181822, 0.0005800549941500921
32, 7, 0.19921875000000003, 0.0169351375100584, 0.6923076923076924, 0.0007746995879317486
32, 8, 0.1796875, 0.01738014018642156, 0.6999999999999996, 0.0009982587771664997
32, 9, 0.171875, 0.01789425579825793, 0.7058823529411765, 0.0012591953702796033
32, 10, 0.1640625, 0.018375930644464022, 0.7105263157894736, 0.0016911512169871246
32, 11, 0.15625, 0.023879929674061995, 0.727272727272727, 0.0018589969174220289
32, 12, 0.1484375, 0.019173197721529894, 0.7717391304347823, 0.002189399063026065
32, 13, 0.140625, 0.019394288591640607, 0.8307692307692311, 0.0025684623570755294
32, 14, 0.1328125, 0.019495842292744037, 0.8968253968253963, 0.00300182867185389
32, 15, 0.125, 0.019708117737411768, 0.9655172413793098, 0.0034482418162879447
32, 16, 0.12109375, 0.019516999313807293, 1.0, 0.003650996601477219
64, 1, 1.0, 0.0969961261494433, 0.0, 7.052340354407605e-05
64, 2, 0.515625, 0.10043625777432375, 0.5, 0.00018053991307287465
64, 3, 0.3544921875, 0.10474629558192039, 0.6000000000000008, 0.00034133327315344353
64, 4, 0.2734375, 0.10735037225778554, 0.6428571428571433, 0.0005620715262463216
64, 5, 0.2255859375, 0.1103486747594623, 0.6666666666666664, 0.0008148979279518631
64, 6, 0.193359375, 0.11287270737230504, 0.6818181818181819, 0.0011311953928471175
64, 7, 0.1708984375, 0.11720601790307128, 0.6923076923076928, 0.0015141374740916813
64, 8, 0.15234375, 0.11934217179642159, 0.7000000000000005, 0.001941509299568489
64, 9, 0.140625, 0.1227636147193627, 0.705882352941176, 0.002476429315450668
64, 10, 0.12890625, 0.12444030863862321, 0.7105263157894731, 0.003111492564364937
64, 11, 0.1201171875, 0.12845203244922843, 0.7142857142857147, 0.003787106770317239
64, 12, 0.11425781250000001, 0.13269401517240498, 0.717391304347826, 0.0043414207221739165
64, 13, 0.1083984375, 0.15048812773763043, 0.7199999999999994, 0.005017387545143803
64, 14, 0.10253906250000001, 0.1376405266969869, 0.7222222222222217, 0.005923613280685469
64, 15, 0.0966796875, 0.13840006375315683, 0.7241379310344834, 0.006693376230368919
64, 16, 0.091796875, 0.1399230166526917, 0.7258064516129037, 0.0076309848804871905
64, 17, 0.08984375, 0.1587626386754577, 0.7272727272727268, 0.009648659455884001
64, 18, 0.087890625, 0.1574375039228646, 0.728571428571428, 0.010034775090287607
64, 19, 0.0859375, 0.15569980725953814, 0.7297297297297286, 0.010681827317804427
64, 20, 0.083984375, 0.1631971502903098, 0.7307692307692313, 0.011893066773673855
64, 21, 0.08203125, 0.16872124848991765, 0.7317073170731712, 0.013118763527270705
64, 22, 0.080078125, 0.15853802163516972, 0.7389006342494705, 0.014107149027940302
64, 23, 0.078125, 0.1541821436152695, 0.753623188405797, 0.01537163365348615
64, 24, 0.076171875, 0.15639411016742955, 0.7739361702127656, 0.016933021807952198
64, 25, 0.07421875, 0.15727247915857134, 0.7983673469387754, 0.018731368598325915
64, 26, 0.072265625, 0.16102961348238187, 0.8257918552036192, 0.020563919239418915
64, 27, 0.0703125, 0.16091748127074723, 0.8553459119496851, 0.022468756369145026
64, 28, 0.068359375, 0.15718044611694637, 0.8863636363636351, 0.024186706479478737
64, 29, 0.06640625, 0.15907999399140582, 0.9183303085299456, 0.02646778596711208
64, 30, 0.064453125, 0.15861066074081975, 0.9508474576271194, 0.027677614954910723
64, 31, 0.0625, 0.15817799966007673, 0.9836065573770498, 0.02977674406140096
64, 32, 0.0615234375, 0.16117771262982483, 1.0, 0.030648765946223122
128, 1, 1.0, 0.7548870955570965, 0.0, 0.00013611016884063076
128, 2, 0.5078125, 0.7666810769487906, 0.5, 0.00034838561350802877
128, 3, 0.34375, 0.7856613931616279, 0.5999999999999999, 0.0006791403761292614
128, 4, 0.26171875, 0.7970244765576675, 0.642857142857143, 0.0010991072442330108
128, 5, 0.212646484375, 0.8068279348843301, 0.6666666666666671, 0.0016174542602840347
128, 6, 0.179931640625, 0.8153979388830077, 0.6818181818181828, 0.002252164892180275
128, 7, 0.15625, 0.8317167018460907, 0.6923076923076931, 0.003015933352562783
128, 8, 0.138671875, 0.8422253942081941, 0.7000000000000016, 0.003934148066706555
128, 9, 0.125, 0.8544523892976503, 0.705882352941175, 0.004994467438992345
128, 10, 0.114501953125, 0.8662668224763745, 0.7105263157894749, 0.006206764745915194
128, 11, 0.10546875, 0.8801549963363104, 0.7142857142857129, 0.00741200971248368
128, 12, 0.09814453125, 0.8894365814767458, 0.7173913043478269, 0.008794973655982474
128, 13, 0.091552734375, 0.9721429029830695, 0.7199999999999992, 0.010382808086777828
128, 14, 0.086669921875, 0.916793314945533, 0.7222222222222238, 0.011859920774007549
128, 15, 0.08178710937500001, 0.9239926965963257, 0.7241379310344815, 0.014355038791396879
128, 16, 0.0771484375, 0.9392190520385171, 0.7258064516129016, 0.01692385376549055
128, 17, 0.07421875, 0.943365122932871, 0.727272727272729, 0.017609341247940336
128, 18, 0.0712890625, 0.9576425859803699, 0.7285714285714279, 0.019614321610696095
128, 19, 0.068359375, 0.9670980113105436, 0.7297297297297275, 0.02181676750338113
128, 20, 0.0654296875, 0.9794688741432296, 0.7307692307692302, 0.02425793511705976
128, 21, 0.0625, 0.9886013022851685, 0.7317073170731722, 0.02664021568877928
128, 22, 0.060791015625, 1.0039553050877679, 0.732558139534884, 0.03433326116438451
128, 23, 0.059326171875, 1.1285073933210086, 0.7333333333333341, 0.039416588091839344
128, 24, 0.057861328125, 1.2695055392607308, 0.7340425531914873, 0.040174009445902215
128, 25, 0.05639648437500001, 1.1173414228378746, 0.7346938775510227, 0.040225138913477565
128, 26, 0.054931640625, 1.1154073184956808, 0.7352941176470581, 0.044906129823715446
128, 27, 0.053466796875, 1.144191445652197, 0.7358490566037726, 0.048600850935386575
128, 28, 0.052001953125, 1.1426342889019452, 0.7363636363636349, 0.050835737593693864
128, 29, 0.050537109375, 1.1807867449852552, 0.7368421052631599, 0.05567470092788085
128, 30, 0.049072265625, 1.1534624522821062, 0.7372881355932189, 0.058189565498260265
128, 31, 0.047607421875, 1.1084001131195365, 0.7377049180327889, 0.059980154714246225
128, 32, 0.04638671875, 1.1428091869427348, 0.7380952380952397, 0.06441396109506314
128, 33, 0.0458984375, 1.0991125334898015, 0.738461538461537, 0.06630821971425149
128, 34, 0.04541015625, 1.1054317830643683, 0.7388059701492543, 0.07055372860760656
128, 35, 0.044921875, 1.1102538207816934, 0.7391304347826092, 0.07443322103657124
128, 36, 0.04443359375, 1.1236730140080624, 0.7394366197183085, 0.08186497730204678
128, 37, 0.0439453125, 1.1832540062582524, 0.7397260273972582, 0.08833303125808811
128, 38, 0.04345703125, 1.22665093524612, 0.7399999999999988, 0.09376756473519521
128, 39, 0.04296875, 1.1874307548331444, 0.7402597402597412, 0.0950426278712726
128, 40, 0.04248046875, 1.1717124986512388, 0.7405063291139259, 0.10048844509294952
128, 41, 0.0419921875, 1.198100240555334, 0.7407407407407428, 0.10637679667185296
128, 42, 0.04150390625, 1.1902386441452535, 0.7409638554216863, 0.11043189237564377
128, 43, 0.041015625, 1.1852854328973308, 0.7419972640218891, 0.11654204005870383
128, 44, 0.04052734375, 1.235286173393071, 0.7452978056426349, 0.11936967592380654
128, 45, 0.0400390625, 1.259710543742493, 0.750561797752809, 0.1293713050144234
128, 46, 0.03955078125, 1.2369445312274152, 0.7575250836120386, 0.13472861536465075
128, 47, 0.0390625, 1.2361998040859845, 0.7659574468085129, 0.13600508896880115
128, 48, 0.03857421875, 1.2487219396192657, 0.7756578947368417, 0.14612766569649693
128, 49, 0.0380859375, 1.258356494394448, 0.7864506627393234, 0.14796268465671858
128, 50, 0.03759765625, 1.2725140676559192, 0.7981818181818172, 0.15571638025937062
128, 51, 0.037109375, 1.2983577215016666, 0.8107163657542209, 0.16707593748522953
128, 52, 0.03662109375, 1.281822451689706, 0.8239357729649006, 0.16345279762816034
128, 53, 0.0361328125, 1.2372199251182536, 0.8377358490566028, 0.17497385344813665
128, 54, 0.03564453125, 1.258800086602733, 0.8520249221183785, 0.18222083839633285
128, 55, 0.03515625, 1.2501891790300022, 0.8667222685571294, 0.18852422020509607
128, 56, 0.03466796875, 1.696040604554824, 0.8817567567567577, 0.19623489653159254
128, 57, 0.0341796875, 1.4212267687093316, 0.8970656730321348, 0.3132829420107157
128, 58, 0.03369140625, 1.6738624046082862, 0.9125937031484276, 0.281760743711601
128, 59, 0.033203125, 1.4558357763815764, 0.9282920469361178, 0.21410129558543645
128, 60, 0.03271484375, 1.2389706686112305, 0.9441176470588211, 0.2238321148064557
128, 61, 0.0322265625, 1.2400246408771949, 0.9600325159192521, 0.23284712148149822
128, 62, 0.03173828125, 1.2726124478038656, 0.9760031471282424, 0.24692993993522805
128, 63, 0.03125, 1.2956379864439924, 0.9920000000000017, 0.2625843724369048
128, 64, 0.031005859375, 1.2547333545373647, 1.0, 0.24751669465270254 
